run_id,reset_mode,soft_reset_coeff,leakage,current_speed,force_magnitude,direction_deg,cte_rmse,cte_p95,score,fail_reason,steps,finished,alpha,sigma
53,hard_reset,0.0,0.01,0.1,5.0,270,0.8956967893600594,2.3267223206502985,0.062071597914946486,,53280,True,0.0,0.01
54,hard_reset,0.0,0.01,0.2,10.0,0,1.2206683574178574,2.2452386433165525,0.5248169211806479,,54420,True,0.0,0.01
55,hard_reset,0.0,0.01,0.2,10.0,30,1.1371902385818835,1.8804231880797495,0.5876252411767734,,51500,True,0.0,0.01
56,hard_reset,0.0,0.01,0.2,10.0,90,1.3528925959614186,1.8778414699503498,0.11068013888515658,,48540,True,0.0,0.01
57,hard_reset,0.0,0.01,0.2,10.0,150,1.116940549879494,1.8578620236415784,0.5007603610870877,,51240,True,0.0,0.01
58,hard_reset,0.0,0.01,0.2,10.0,180,1.2509224199325448,2.36664012209848,0.5859842121916112,,54140,True,0.0,0.01
59,hard_reset,0.0,0.01,0.2,10.0,270,1.058114115508504,2.645958875416503,0.11199997321661805,,61320,True,0.0,0.01
60,hard_reset,0.0,0.01,0.3,14.999999999999998,0,1.5092514333306568,2.810152222462465,0.3714257792622171,,64160,True,0.0,0.01
61,hard_reset,0.0,0.01,0.3,14.999999999999998,30,1.636954949225223,2.838169794448806,0.5837957473067388,,55540,True,0.0,0.01
62,hard_reset,0.0,0.01,0.3,14.999999999999998,90,2.4106839994945948,4.650559231018958,0.09601662589648441,,44120,True,0.0,0.01
63,hard_reset,0.0,0.01,0.3,14.999999999999998,150,1.6507338403387233,2.7599985671403062,0.4413134968697395,,55560,True,0.0,0.01
64,hard_reset,0.0,0.01,0.3,14.999999999999998,180,1.559253492954682,3.2159046078740925,0.570492690270271,,63760,True,0.0,0.01
65,hard_reset,0.0,0.01,0.3,14.999999999999998,270,1.1959393346807112,2.6652849295237324,0.1130792886742334,,87240,True,0.0,0.01
66,hard_reset,0.0,0.01,0.4,20.0,0,1.5863978831102639,3.31487147166288,0.35621013948744285,,100800,True,0.0,0.01
67,hard_reset,0.0,0.01,0.4,20.0,30,5.373857976295322,15.32426971915675,0.3095175952087567,,72300,True,0.0,0.01
68,hard_reset,0.0,0.01,0.4,20.0,90,3.950756336930428,8.24927981000732,0.003787978967879615,,43100,True,0.0,0.01
69,hard_reset,0.0,0.01,0.4,20.0,150,7.191888986542773,17.03034146169359,0.34641295929772853,,72780,True,0.0,0.01
70,hard_reset,0.0,0.01,0.4,20.0,180,1.6352993596482641,3.5948162748502277,0.43333339822250205,,99860,True,0.0,0.01
71,hard_reset,0.0,0.01,0.4,20.0,270,1.2669837200644631,2.4632953361244145,0.10670780581430121,,166900,True,0.0,0.01
72,hard_reset,0.0,0.005,0.1,5.0,0,0.9194837097532569,2.043277067706146,0.37053911626291525,,52980,True,0.0,0.005
73,hard_reset,0.0,0.005,0.1,5.0,30,0.8940757810098867,1.640797013159316,0.34883345488217654,,53200,True,0.0,0.005
74,hard_reset,0.0,0.005,0.1,5.0,90,0.9283781393195749,1.5301753563893268,0.1340603326221394,,52780,True,0.0,0.005
75,hard_reset,0.0,0.005,0.1,5.0,150,0.8965350572134136,1.700503249892403,0.3732304490259496,,53060,True,0.0,0.005
76,hard_reset,0.0,0.005,0.1,5.0,180,0.9187082034925863,2.069372383203018,0.3794336112192339,,52840,True,0.0,0.005
77,hard_reset,0.0,0.005,0.1,5.0,270,0.8865080562677141,2.339009208832557,0.036999623513924496,,53220,True,0.0,0.005
78,hard_reset,0.0,0.005,0.2,10.0,0,1.1771052509711522,2.2353697023149266,0.4741051309769632,,54360,True,0.0,0.005
79,hard_reset,0.0,0.005,0.2,10.0,30,1.0992653587134826,1.8973939498969323,0.5540039979750848,,51500,True,0.0,0.005
80,hard_reset,0.0,0.005,0.2,10.0,90,1.2827333819645552,1.8689947741127346,0.05080057963460911,,48680,True,0.0,0.005
81,hard_reset,0.0,0.005,0.2,10.0,150,1.0776052255356192,1.8756844973303926,0.48994693123708144,,51320,True,0.0,0.005
82,hard_reset,0.0,0.005,0.2,10.0,180,1.2015458380758899,2.3593865497221884,0.5386388459273319,,54160,True,0.0,0.005
83,hard_reset,0.0,0.005,0.2,10.0,270,1.0161201049968804,2.6457776604669196,0.052076036487730466,,61260,True,0.0,0.005
84,hard_reset,0.0,0.005,0.3,14.999999999999998,0,1.429793875632224,2.7891213402919224,0.3163805151428233,,64140,True,0.0,0.005
85,hard_reset,0.0,0.005,0.3,14.999999999999998,30,1.5530878698789206,2.8533782016235625,0.5468933550667945,,55540,True,0.0,0.005
86,hard_reset,0.0,0.005,0.3,14.999999999999998,90,2.3177168276318403,4.58334414873038,0.02971591235306722,,44180,True,0.0,0.005
87,hard_reset,0.0,0.005,0.3,14.999999999999998,150,1.5735863702504964,2.756475541628565,0.39562010159870103,,55720,True,0.0,0.005
88,hard_reset,0.0,0.005,0.3,14.999999999999998,180,1.4804464566087798,3.210678771103823,0.5269349085761352,,63840,True,0.0,0.005
89,hard_reset,0.0,0.005,0.3,14.999999999999998,270,1.0972580168485093,2.6635417008003763,0.044276074143881024,,87160,True,0.0,0.005
90,hard_reset,0.0,0.005,0.4,20.0,0,1.4553184774574832,3.2696677722123084,0.2937807486454195,,101000,True,0.0,0.005
91,hard_reset,0.0,0.005,0.4,20.0,30,5.358688709399539,15.322662786582836,0.2917950783061948,,72220,True,0.0,0.005
92,hard_reset,0.0,0.005,0.4,20.0,90,3.9395705631595765,8.279359584184554,0.0036689698333240523,,43140,True,0.0,0.005
93,hard_reset,0.0,0.005,0.4,20.0,150,7.175572449385802,17.009467786516986,0.270394500942138,,72800,True,0.0,0.005
94,hard_reset,0.0,0.005,0.4,20.0,180,1.5118793312172933,3.5573810435038347,0.3739864794741905,,100100,True,0.0,0.005
95,hard_reset,0.0,0.005,0.4,20.0,270,1.0656398473344846,2.443864933642148,0.02321724505206683,,166940,True,0.0,0.005
96,hard_reset,0.0,0.003,0.1,5.0,0,0.9146449665389143,2.0547318189333854,0.40062116489384403,,52960,True,0.0,0.003
97,hard_reset,0.0,0.003,0.1,5.0,30,0.8944025307623883,1.6266623917972043,0.31945790587604367,,53200,True,0.0,0.003
98,hard_reset,0.0,0.003,0.1,5.0,90,0.9156400531083893,1.4914644340538343,0.07660178965363193,,52820,True,0.0,0.003
99,hard_reset,0.0,0.003,0.1,5.0,150,0.8873501792517953,1.687827828129381,0.3055466382315142,,53080,True,0.0,0.003
100,hard_reset,0.0,0.003,0.1,5.0,180,0.9211175578515948,2.092247205275809,0.4982714017549127,,52840,True,0.0,0.003
101,hard_reset,0.0,0.003,0.1,5.0,270,0.8834454864200189,2.341785887195755,0.0276695984181125,,53200,True,0.0,0.003
102,hard_reset,0.0,0.003,0.2,10.0,0,1.167335568864861,2.261503672868013,0.4847428998932396,,54320,True,0.0,0.003
103,hard_reset,0.0,0.003,0.2,10.0,30,1.0920999984660518,1.9101390028718281,0.5519628340093836,,51500,True,0.0,0.003
104,hard_reset,0.0,0.003,0.2,10.0,90,1.256155069548294,1.8656206906562236,0.02811295187741666,,48740,True,0.0,0.003
105,hard_reset,0.0,0.003,0.2,10.0,150,1.0616271168028601,1.882514065809791,0.48477140766786236,,51360,True,0.0,0.003
106,hard_reset,0.0,0.003,0.2,10.0,180,1.1806185728221297,2.357591303230267,0.5193504849112406,,54180,True,0.0,0.003
107,hard_reset,0.0,0.003,0.2,10.0,270,1.0009754992783506,2.637901491083649,0.028142750936672505,,61220,True,0.0,0.003
108,hard_reset,0.0,0.003,0.3,14.999999999999998,0,1.404622663230834,2.783163232796504,0.299279759915862,,64200,True,0.0,0.003
109,hard_reset,0.0,0.003,0.3,14.999999999999998,30,1.5393203627044236,2.8671838082961925,0.5439931020958719,,55520,True,0.0,0.003
110,hard_reset,0.0,0.003,0.3,14.999999999999998,90,2.2976698035426963,4.57354338313415,0.016245539048107716,,44180,True,0.0,0.003
111,hard_reset,0.0,0.003,0.3,14.999999999999998,150,1.55579079655055,2.7546364017320366,0.3840481045305289,,55700,True,0.0,0.003
112,hard_reset,0.0,0.003,0.3,14.999999999999998,180,1.4540994216672656,3.2076004209143116,0.5120993542523383,,63920,True,0.0,0.003
113,hard_reset,0.0,0.003,0.3,14.999999999999998,270,1.0651200530836358,2.6589381054198196,0.02125083627505717,,87120,True,0.0,0.003
114,hard_reset,0.0,0.003,0.4,20.0,0,1.4271593010021308,3.2547484118397043,0.2793540353231352,,101040,True,0.0,0.003
115,hard_reset,0.0,0.003,0.4,20.0,30,5.34903003117402,15.310267224675906,0.2733074805007399,,72240,True,0.0,0.003
116,hard_reset,0.0,0.003,0.4,20.0,90,3.922332417895446,8.262301319992341,0.0029511507993130086,,43160,True,0.0,0.003
117,hard_reset,0.0,0.003,0.4,20.0,150,7.171836153390262,17.00524522210492,0.25414385905520115,,72800,True,0.0,0.003
118,hard_reset,0.0,0.003,0.4,20.0,180,1.4842711060255782,3.546828442487206,0.36036479882092476,,100160,True,0.0,0.003
119,hard_reset,0.0,0.003,0.4,20.0,270,1.0274952251873228,2.43154446410808,0.006431669767499119,,166960,True,0.0,0.003
120,hard_reset,0.0,0.001,0.1,5.0,0,0.9094989926323519,2.0205089551621054,0.2517883234161633,,52960,True,0.0,0.001
121,hard_reset,0.0,0.001,0.1,5.0,30,0.897723874673482,1.6880844238507307,0.46666666114275146,,53180,True,0.0,0.001
122,hard_reset,0.0,0.001,0.1,5.0,90,0.9043666956297655,1.4622048450866778,0.028886350373733122,,52860,True,0.0,0.001
123,hard_reset,0.0,0.001,0.1,5.0,150,0.8912078169423906,1.6932221038529804,0.33414330005480575,,53100,True,0.0,0.001
124,hard_reset,0.0,0.001,0.1,5.0,180,0.917994376188761,2.076040986202611,0.4105975041565927,,52840,True,0.0,0.001
125,hard_reset,0.0,0.001,0.1,5.0,270,0.883629918156237,2.348962574978356,0.03365450633152184,,53160,True,0.0,0.001
126,hard_reset,0.0,0.001,0.2,10.0,0,1.150173528298027,2.2463399963898008,0.456009362096802,,54280,True,0.0,0.001
127,hard_reset,0.0,0.001,0.2,10.0,30,1.077760923710086,1.918263387624445,0.5400228207752245,,51500,True,0.0,0.001
128,hard_reset,0.0,0.001,0.2,10.0,90,1.234118144654345,1.8634355732238312,0.00939746675121437,,48800,True,0.0,0.001
129,hard_reset,0.0,0.001,0.2,10.0,150,1.0514438723950483,1.893336346215765,0.4938306404669395,,51400,True,0.0,0.001
130,hard_reset,0.0,0.001,0.2,10.0,180,1.1732317603265099,2.3718575458443305,0.5216055377442643,,54160,True,0.0,0.001
131,hard_reset,0.0,0.001,0.2,10.0,270,0.9935224138995823,2.665499887989457,0.025723179441159365,,61180,True,0.0,0.001
132,hard_reset,0.0,0.001,0.3,14.999999999999998,0,1.380291395630379,2.7750685097540275,0.2816322738668707,,64280,True,0.0,0.001
133,hard_reset,0.0,0.001,0.3,14.999999999999998,30,1.5223056919466844,2.8693083914436235,0.5362381904446939,,55460,True,0.0,0.001
134,hard_reset,0.0,0.001,0.3,14.999999999999998,90,2.280814007283149,4.565627344594425,0.004976628704981034,,44180,True,0.0,0.001
135,hard_reset,0.0,0.001,0.3,14.999999999999998,150,1.5466817637422174,2.753391390007243,0.37781952048827716,,55660,True,0.0,0.001
136,hard_reset,0.0,0.001,0.3,14.999999999999998,180,1.4331775647900453,3.2013552915507404,0.49953872704745544,,64020,True,0.0,0.001
137,hard_reset,0.0,0.001,0.3,14.999999999999998,270,1.039689539217187,2.6586535316149074,0.0035452182021880932,,87080,True,0.0,0.001
138,hard_reset,0.0,0.001,0.4,20.0,0,1.415576143253744,3.24045935383224,0.2718305690453625,,101060,True,0.0,0.001
139,hard_reset,0.0,0.001,0.4,20.0,30,5.356447813077963,15.352409291208717,0.3081686076923231,,72160,True,0.0,0.001
140,hard_reset,0.0,0.001,0.4,20.0,90,3.906300392859648,8.25237984065556,0.0023336428665613786,,43160,True,0.0,0.001
141,hard_reset,0.0,0.001,0.4,20.0,150,7.168724012912641,17.014022685172634,0.2661275642930461,,72820,True,0.0,0.001
142,hard_reset,0.0,0.001,0.4,20.0,180,1.4731219173706478,3.5298476525110765,0.3528427958671313,,100140,True,0.0,0.001
143,hard_reset,0.0,0.001,0.4,20.0,270,1.0181387312627441,2.4250486024580757,0.0019250050472019707,,167000,True,0.0,0.001
144,soft_reset,0.5,0.0,0.1,5.0,0,0.8650640424610389,2.0393574770697276,0.1915887165181264,,52820,True,0.5,0.0
145,soft_reset,0.5,0.0,0.1,5.0,30,0.8614723340308214,1.6763119275096219,0.29154283933218805,,53160,True,0.5,0.0
146,soft_reset,0.5,0.0,0.1,5.0,90,1.0212837506536563,1.461026570146272,0.33268050233698876,,52980,True,0.5,0.0
147,soft_reset,0.5,0.0,0.1,5.0,150,0.874791155251763,1.714594097154503,0.3188774903105638,,53100,True,0.5,0.0
148,soft_reset,0.5,0.0,0.1,5.0,180,0.8671926136154466,2.066172143007692,0.2370349800871287,,52800,True,0.5,0.0
149,soft_reset,0.5,0.0,0.1,5.0,270,0.9356031711601686,2.543083676527965,0.3701329954689927,,53100,True,0.5,0.0
150,soft_reset,0.5,0.0,0.2,10.0,0,0.9917292254809772,1.9900323351112013,0.10042119845273678,,53740,True,0.5,0.0
151,soft_reset,0.5,0.0,0.2,10.0,30,0.9181015156406146,1.3525175606340234,0.11049728288753413,,51240,True,0.5,0.0
152,soft_reset,0.5,0.0,0.2,10.0,90,1.5924363164845319,2.7483900643092705,0.4462310229875312,,49000,True,0.5,0.0
153,soft_reset,0.5,0.0,0.2,10.0,150,0.9104481306579402,1.736355360875109,0.03319343563090595,,51280,True,0.5,0.0
154,soft_reset,0.5,0.0,0.2,10.0,180,0.9952805305128449,2.0628083653722182,0.17888677528677024,,53880,True,0.5,0.0
155,soft_reset,0.5,0.0,0.2,10.0,270,1.152912985514402,3.179951608509339,0.40593110904674556,,61060,True,0.5,0.0
156,soft_reset,0.5,0.0,0.3,14.999999999999998,0,1.137407495635593,2.5704173495056075,0.0462149426858058,,63420,True,0.5,0.0
157,soft_reset,0.5,0.0,0.3,14.999999999999998,30,1.1894028509280887,1.8129268561535579,0.07794929793869142,,54360,True,0.5,0.0
158,soft_reset,0.5,0.0,0.3,14.999999999999998,90,2.7387495192218467,5.094577584974894,0.36640057182936736,,44180,True,0.5,0.0
159,soft_reset,0.5,0.0,0.3,14.999999999999998,150,1.2763183611723121,2.5969819394288027,0.0728610176786226,,54980,True,0.5,0.0
160,soft_reset,0.5,0.0,0.3,14.999999999999998,180,1.1521585823814424,2.4321079772567593,0.19018933418593487,,63520,True,0.5,0.0
161,soft_reset,0.5,0.0,0.3,14.999999999999998,270,1.3263912860109237,3.8210829600167826,0.38060827174770084,,86940,True,0.5,0.0
162,soft_reset,0.5,0.0,0.4,20.0,0,1.1784452200453825,2.761236830040881,0.08141663468018559,,99200,True,0.5,0.0
163,soft_reset,0.5,0.0,0.4,20.0,30,3.215826658769208,4.741080574368283,,diverged,222139,False,0.5,0.0
164,soft_reset,0.5,0.0,0.4,20.0,90,12.901826810562463,30.01464027334442,0.4853017588310577,,53480,True,0.5,0.0
165,soft_reset,0.5,0.0,0.4,20.0,150,3.2097008830478497,4.738988524555843,,diverged,222646,False,0.5,0.0
166,soft_reset,0.5,0.0,0.4,20.0,180,1.1895066290173435,2.5524910984122666,0.07483366546965951,,99060,True,0.5,0.0
167,soft_reset,0.5,0.0,0.4,20.0,270,1.3107891085168566,3.6685259816973836,0.2594776240700575,,167200,True,0.5,0.0
168,soft_reset,0.5,0.1,0.1,5.0,0,1.083393643898653,2.016099282414357,0.7576249884070129,,53160,True,0.5,0.1
169,soft_reset,0.5,0.1,0.1,5.0,30,1.0154585352141108,1.5696389070994283,0.6948569808990791,,53160,True,0.5,0.1
170,soft_reset,0.5,0.1,0.1,5.0,90,1.0995738731631244,1.4191557363822436,0.5103406896074414,,52420,True,0.5,0.1
171,soft_reset,0.5,0.1,0.1,5.0,150,1.0382450823163087,1.5947689803943916,0.6940852096772755,,52820,True,0.5,0.1
172,soft_reset,0.5,0.1,0.1,5.0,180,1.1223967219330562,2.066669100076548,0.866660920163709,,52780,True,0.5,0.1
173,soft_reset,0.5,0.1,0.1,5.0,270,1.064903540575408,2.374072053609136,0.7258050218715119,,53460,True,0.5,0.1
174,soft_reset,0.5,0.1,0.2,10.0,0,1.6849253410415337,2.2663678363190467,0.9999999998235337,,54800,True,0.5,0.1
175,soft_reset,0.5,0.1,0.2,10.0,30,1.4934412813875522,1.7672183315849281,0.9243354108823174,,51500,True,0.5,0.1
176,soft_reset,0.5,0.1,0.2,10.0,90,1.9832418901932019,2.077648867642397,0.66744343759513,,48120,True,0.5,0.1
177,soft_reset,0.5,0.1,0.2,10.0,150,1.4916276746927906,1.793625958436727,0.8053398862817621,,50960,True,0.5,0.1
178,soft_reset,0.5,0.1,0.2,10.0,180,1.723424071130166,2.329826701391797,0.9744333410265422,,54180,True,0.5,0.1
179,soft_reset,0.5,0.1,0.2,10.0,270,1.471339792643598,2.6559263861063633,0.704091636980631,,61640,True,0.5,0.1
180,soft_reset,0.5,0.1,0.3,14.999999999999998,0,2.2882691533913313,3.191631905210402,0.9949660810934156,,64980,True,0.5,0.1
181,soft_reset,0.5,0.1,0.3,14.999999999999998,30,2.4500867955525854,2.8603379025086975,0.9889421966935936,,55640,True,0.5,0.1
182,soft_reset,0.5,0.1,0.3,14.999999999999998,90,3.4665926733860624,5.441691901390589,0.8539311303594451,,43740,True,0.5,0.1
183,soft_reset,0.5,0.1,0.3,14.999999999999998,150,2.4286115389424587,2.8876006227969233,0.9946068997204291,,55200,True,0.5,0.1
184,soft_reset,0.5,0.1,0.3,14.999999999999998,180,2.3115827183623385,3.316790134013381,0.9967805288630277,,63920,True,0.5,0.1
185,soft_reset,0.5,0.1,0.3,14.999999999999998,270,2.0314918460750677,2.8310499025178792,0.7187640102924482,,87720,True,0.5,0.1
186,soft_reset,0.5,0.1,0.4,20.0,0,2.802308634539008,4.056611211710047,0.9981647748566893,,102200,True,0.5,0.1
187,soft_reset,0.5,0.1,0.4,20.0,30,4.780463395993052,4.710282090996557,,diverged,223750,False,0.5,0.1
188,soft_reset,0.5,0.1,0.4,20.0,90,4.87102442596845,8.30220199448353,0.03488053512917702,,42220,True,0.5,0.1
189,soft_reset,0.5,0.1,0.4,20.0,150,4.801433524456678,4.818541973346361,,diverged,222539,False,0.5,0.1
190,soft_reset,0.5,0.1,0.4,20.0,180,2.7163250031018387,4.2095529524371464,0.9987274257258827,,99940,True,0.5,0.1
191,soft_reset,0.5,0.1,0.4,20.0,270,2.7392701901982712,2.9642064680961777,0.7574324159282907,,167260,True,0.5,0.1
192,soft_reset,0.5,0.01,0.1,5.0,0,0.9026652845816527,2.036325810541351,0.29286785706311547,,52940,True,0.5,0.01
193,soft_reset,0.5,0.01,0.1,5.0,30,0.8782746533321171,1.6340651110705913,0.26902238235069104,,53180,True,0.5,0.01
194,soft_reset,0.5,0.01,0.1,5.0,90,0.986511444733745,1.4904362654986736,0.26055521764166045,,52760,True,0.5,0.01
195,soft_reset,0.5,0.01,0.1,5.0,150,0.8830505038444374,1.6947529201713687,0.304735855614717,,53020,True,0.5,0.01
196,soft_reset,0.5,0.01,0.1,5.0,180,0.9067086637755254,2.0676796363346077,0.3415884455282736,,52800,True,0.5,0.01
197,soft_reset,0.5,0.01,0.1,5.0,270,0.9402210724317238,2.488059666848574,0.34666100098552755,,53220,True,0.5,0.01
198,soft_reset,0.5,0.01,0.2,10.0,0,1.1331122689703648,2.0372632837931306,0.2768085955800076,,54080,True,0.5,0.01
199,soft_reset,0.5,0.01,0.2,10.0,30,1.0532071535025924,1.5539517297607854,0.34863566796789225,,51300,True,0.5,0.01
200,soft_reset,0.5,0.01,0.2,10.0,90,1.5271069481132205,2.34681418857342,0.32910760504627445,,48640,True,0.5,0.01
201,soft_reset,0.5,0.01,0.2,10.0,150,1.041258361642301,1.7421686325640762,0.1934680205378335,,51140,True,0.5,0.01
202,soft_reset,0.5,0.01,0.2,10.0,180,1.1509963272421502,2.140531408487901,0.3615599223005121,,53940,True,0.5,0.01
203,soft_reset,0.5,0.01,0.2,10.0,270,1.1541140123992513,2.990060097440438,0.3511807604606648,,61260,True,0.5,0.01
204,soft_reset,0.5,0.01,0.3,14.999999999999998,0,1.3599544580676948,2.7289387713267454,0.248048525846647,,63380,True,0.5,0.01
205,soft_reset,0.5,0.01,0.3,14.999999999999998,30,1.4467305320009267,2.1324393774454977,0.2934163526664394,,54840,True,0.5,0.01
206,soft_reset,0.5,0.01,0.3,14.999999999999998,90,2.7169071725421823,5.028845258910634,0.3420295268428355,,44120,True,0.5,0.01
207,soft_reset,0.5,0.01,0.3,14.999999999999998,150,1.5075557737803342,2.6135029265069023,0.21581262833788922,,55180,True,0.5,0.01
208,soft_reset,0.5,0.01,0.3,14.999999999999998,180,1.392737824087529,2.7425999590202315,0.38360048021664445,,63300,True,0.5,0.01
209,soft_reset,0.5,0.01,0.3,14.999999999999998,270,1.3577165443892645,3.443363386310236,0.3445438156124361,,87160,True,0.5,0.01
210,soft_reset,0.5,0.01,0.4,20.0,0,1.4453180231176566,3.119895918135775,0.26049466730668885,,99040,True,0.5,0.01
211,soft_reset,0.5,0.01,0.4,20.0,30,5.984688822397557,14.878770225869658,0.6999999998898779,,79360,True,0.5,0.01
212,soft_reset,0.5,0.01,0.4,20.0,90,6.143354605343348,12.532415452630438,0.11290145110456187,,46280,True,0.5,0.01
213,soft_reset,0.5,0.01,0.4,20.0,150,7.518098017701136,16.88580998999033,0.6999999997996416,,81180,True,0.5,0.01
214,soft_reset,0.5,0.01,0.4,20.0,180,1.4809674910000357,3.0745668734474063,0.2838935204241957,,98800,True,0.5,0.01
215,soft_reset,0.5,0.01,0.4,20.0,270,1.4450810519480544,3.2983360929989787,0.2722216335231157,,166980,True,0.5,0.01
216,soft_reset,0.5,0.005,0.1,5.0,0,0.8745611674694589,1.9999922503686487,0.06675953392357434,,52920,True,0.5,0.005
217,soft_reset,0.5,0.005,0.1,5.0,30,0.8719588480218778,1.6727673635698213,0.327094353647638,,53160,True,0.5,0.005
218,soft_reset,0.5,0.005,0.1,5.0,90,0.9968471657149347,1.4809840509280856,0.28154812398353,,52840,True,0.5,0.005
219,soft_reset,0.5,0.005,0.1,5.0,150,0.878545449526757,1.7177098172376901,0.3415842539427793,,53040,True,0.5,0.005
220,soft_reset,0.5,0.005,0.1,5.0,180,0.8763719907432583,2.039641414908263,0.12863028649921243,,52820,True,0.5,0.005
221,soft_reset,0.5,0.005,0.1,5.0,270,0.9366978372638026,2.5167247123483247,0.35473619770205467,,53160,True,0.5,0.005
222,soft_reset,0.5,0.005,0.2,10.0,0,1.0647416401598124,2.034511978972096,0.20710870647156643,,53920,True,0.5,0.005
223,soft_reset,0.5,0.005,0.2,10.0,30,0.9797334126554239,1.4747242323720533,0.23283238251041205,,51300,True,0.5,0.005
224,soft_reset,0.5,0.005,0.2,10.0,90,1.5355635930254015,2.5094568586651027,0.36153326873743274,,48800,True,0.5,0.005
225,soft_reset,0.5,0.005,0.2,10.0,150,0.9689671969816646,1.7379832983415415,0.10303570347162554,,51220,True,0.5,0.005
226,soft_reset,0.5,0.005,0.2,10.0,180,1.0670694958810865,2.0871124954585576,0.25609136930618254,,53920,True,0.5,0.005
227,soft_reset,0.5,0.005,0.2,10.0,270,1.1360985421162642,3.0551818835382827,0.34485986111218037,,61180,True,0.5,0.005
